SELECTED_ASOS_ID,CLIENT,FACILITY_NAME,I06,S06,FORECAST_TIME,Q06,SITE,P06
JRB,EsteMauder,Neptune Shipping Terminal,0,0,1743746791095784000,2,JRB,32
JRB,EsteMauder,Riverbend Recycling Center,0,0,1743768391095784000,6,JRB,54
JRB,EsteMauder,Neptune Shipping Terminal,0,0,1743768391095784000,6,JRB,54
JRB,EsteMauder,Riverbend Recycling Center,0,0,1743789991095784000,5,JRB,38
JRB,EsteMauder,Neptune Shipping Terminal,0,0,1743789991095784000,5,JRB,38
JRB,EsteMauder,Riverbend Recycling Center,0,0,1743811591095784000,0,JRB,5
JRB,EsteMauder,Neptune Shipping Terminal,0,0,1743811591095784000,0,JRB,5
JRB,EsteMauder,Riverbend Recycling Center,0,0,1743833191095784000,0,JRB,6
JRB,EsteMauder,Neptune Shipping Terminal,0,0,1743833191095784000,0,JRB,6
JRB,EsteMauder,Riverbend Recycling Center,0,0,1743854791095784000,0,JRB,26
JRB,EsteMauder,Neptune Shipping Terminal,0,0,1743854791095784000,0,JRB,26
JRB,EsteMauder,Riverbend Recycling Center,0,0,1743876391095784000,6,JRB,56
JRB,EsteMauder,Neptune Shipping Terminal,0,0,1743876391095784000,6,JRB,56
DAL,EsteMauder,Sunrise Logistics Hub,0,0,1743660391095784000,1,DAL,8
DAL,EsteMauder,Sunrise Logistics Hub,0,0,1743681991095784000,25,DAL,75
DAL,EsteMauder,Sunrise Logistics Hub,0,0,1743703591095784000,14,DAL,59
DAL,EsteMauder,Sunrise Logistics Hub,0,0,1743725191095784000,1,DAL,29
DAL,EsteMauder,Sunrise Logistics Hub,0,0,1743746791095784000,3,DAL,26
DAL,EsteMauder,Sunrise Logistics Hub,0,0,1743768391095784000,14,DAL,67
DAL,EsteMauder,Sunrise Logistics Hub,0,0,1743789991095784000,32,DAL,83
DAL,EsteMauder,Sunrise Logistics Hub,0,0,1743811591095784000,47,DAL,92
DAL,EsteMauder,Sunrise Logistics Hub,0,0,1743833191095784000,42,DAL,85
DAL,EsteMauder,Sunrise Logistics Hub,0,0,1743854791095784000,109,DAL,96
DAL,EsteMauder,Sunrise Logistics Hub,0,0,1743876391095784000,28,DAL,74
BDU,EsteMauder,Northpoint Warehouse,0,0,1743660391095784000,0,BDU,2
BDU,EsteMauder,Northpoint Warehouse,0,0,1743681991095784000,0,BDU,7
BDU,EsteMauder,Northpoint Warehouse,0,1,1743703591095784000,1,BDU,45
BDU,EsteMauder,Northpoint Warehouse,0,2,1743725191095784000,5,BDU,79
BDU,EsteMauder,Northpoint Warehouse,0,2,1743746791095784000,5,BDU,56
BDU,EsteMauder,Northpoint Warehouse,0,0,1743768391095784000,1,BDU,26
BDU,EsteMauder,Northpoint Warehouse,0,1,1743789991095784000,3,BDU,41
BDU,EsteMauder,Northpoint Warehouse,0,3,1743811591095784000,15,BDU,84
BDU,EsteMauder,Northpoint Warehouse,0,25,1743833191095784000,13,BDU,71
BDU,EsteMauder,Northpoint Warehouse,0,24,1743854791095784000,5,BDU,48
BDU,EsteMauder,Northpoint Warehouse,0,5,1743876391095784000,1,BDU,21
BUF,EsteMauder,Ironclad Foundry,0,0,1743660391095784000,21,BUF,70
BUF,EsteMauder,Highland Data Center,0,0,1743660391095784000,21,BUF,70
BUF,EsteMauder,Ironclad Foundry,0,0,1743681991095784000,23,BUF,95
BUF,EsteMauder,Highland Data Center,0,0,1743681991095784000,23,BUF,95
BUF,EsteMauder,Ironclad Foundry,0,0,1743703591095784000,6,BUF,53
BUF,EsteMauder,Highland Data Center,0,0,1743703591095784000,6,BUF,53
BUF,EsteMauder,Ironclad Foundry,0,0,1743725191095784000,0,BUF,5
BUF,EsteMauder,Highland Data Center,0,0,1743725191095784000,0,BUF,5
BUF,EsteMauder,Ironclad Foundry,0,0,1743746791095784000,0,BUF,6
BUF,EsteMauder,Highland Data Center,0,0,1743746791095784000,0,BUF,6
BUF,EsteMauder,Ironclad Foundry,0,0,1743768391095784000,0,BUF,11
BUF,EsteMauder,Highland Data Center,0,0,1743768391095784000,0,BUF,11
BUF,EsteMauder,Ironclad Foundry,0,0,1743789991095784000,0,BUF,8
BUF,EsteMauder,Highland Data Center,0,0,1743789991095784000,0,BUF,8
BUF,EsteMauder,Ironclad Foundry,0,0,1743811591095784000,0,BUF,3
BUF,EsteMauder,Highland Data Center,0,0,1743811591095784000,0,BUF,3
BUF,EsteMauder,Ironclad Foundry,0,0,1743833191095784000,0,BUF,22
BUF,EsteMauder,Highland Data Center,0,0,1743833191095784000,0,BUF,22
BUF,EsteMauder,Ironclad Foundry,0,0,1743854791095784000,37,BUF,84
BUF,EsteMauder,Highland Data Center,0,0,1743854791095784000,37,BUF,84
BUF,EsteMauder,Ironclad Foundry,0,0,1743876391095784000,34,BUF,95
BUF,EsteMauder,Highland Data Center,0,0,1743876391095784000,34,BUF,95
RDU,EsteMauder,Summit Manufacturing,0,0,1743660391095784000,0,RDU,10
RDU,EsteMauder,Summit Manufacturing,0,0,1743681991095784000,0,RDU,20
